날짜,매출금액,매출건수
20250301,816618,2
20250301,29189,4
20250301,3198248,2
20250301,2526559,4
20250301,13008,2
20250301,4034,2
20250301,6949,2
20250301,9979,2
20250301,10716,2
20250301,13899,4
20250301,5702,2
20250301,7662,2
20250301,4376,2
20250301,6593,2
20250301,10691,2
20250301,11404,2
20250301,3564,2
20250301,106914,2
20250301,71276,2
20250301,58721,2
20250301,41875,2
20250301,156807,4
20250301,122880,4
20250301,35638,2
20250301,101784,4
20250301,213828,2
20250301,72537,2
20250301,85531,2
20250301,34747,2
20250301,48111,2
20250301,106914,2
20250301,96222,2
20250301,48111,2
20250301,96222,2
20250301,85531,2
20250301,71276,2
20250301,53457,2
20250301,3423913,2
20250302,4164,2
20250302,3564,2
20250302,8731,2
20250302,7484,2
20250302,7128,2
20250302,4098,2
20250302,15324,5
20250302,9088,2
20250302,135716,2
20250302,144334,2
20250302,37420,4
20250302,71276,4
20250302,51675,4
20250302,25837,2
20250302,126515,7
20250302,17819,2
20250302,76622,4
20250302,37420,2
20250302,30292,2
20250302,67742,2
20250302,74840,2
20250302,149679,4
20250302,74840,2
20250302,44904,2
20250302,52259,2
20250302,96222,2
20250302,42766,2
20250302,233428,2
20250303,3698877,7
20250303,1782575,4
20250303,3564,2
20250303,3564,2
20250303,7128,2
20250303,9622,2
20250303,4455,2
20250303,9622,2
20250303,3564,2
20250303,210264,4
20250303,212208,7
20250303,71276,2
20250303,100499,4
20250303,21516,2
20250303,73058,2
20250303,181753,5
20250303,215609,7
20250303,19294,2
20250303,64148,2
20250303,60584,2
20250303,49893,2
20250303,36807,2
20250303,89808,2
20250303,64148,2
20250303,126960,5
20250303,144334,4
20250303,96222,2
20250303,96222,2
20250303,96222,2
20250303,144334,4
20250303,96222,2
20250303,73788,2
20250303,8909,2
20250303,26728,2
20250303,8909,2
20250303,6367753,4
20250304,674745,4
20250304,14255,2
20250304,591589,2
20250304,8731,4
20250304,11404,4
20250304,8010,4
20250304,6771,2
20250304,12944,4
20250304,11761,2
20250304,11404,2
20250304,4455,2
20250304,8713,4
20250304,3564,2
20250304,40770,4
20250304,9800,2
20250304,22274,4
20250304,183906,11
20250304,42056,2
20250304,22258,2
20250304,43656,2
20250304,76140,4
